location,category,itemname,open_qty,qty_in_stock,cost_price,selling_price,totalcost
"MODERN DREAM A","ACCESSORIES","2FT GLOBE STAND",0,28,120.00,120.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T5 LED TUBE V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T5 TUBE PHILLIPS",0,15,20.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T5 TUBE VETO",0,14,50.00,50.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T5-10W LED COMPLETE V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T5-16W LED COMPLETE V-MAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T5-16W LED LIGHT V-MAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8  TUBE RR",0,3,15.00,15.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8 FITTING REXTON",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8 FITTING RR",0,34,90.00,90.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8 LED 9W/15 RR TUBE",0,9,35.00,35.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8 LED NORMAL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8 LED PHILLIPS 18W",0,0,40.00,40.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8 LED TUBE NORMAL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8 TUBE PHILIPS",0,110,20.00,20.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8-18W FLURESCENT CHOKE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8-18W TUBE VETO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8-18W TUBE VETO(BLUE)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8-8W LED TUBE PHILIPS",0,62,40.00,40.00,0.00
"MODERN DREAM A","ACCESSORIES","2FT T8-8W LED TUBE V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2W AVS TECH",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2W CHAMPAIGN GOLD ZENITH",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2W S-CLASS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2W SLIM WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2W WATERPROOF RR",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY ABB",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY AJLITE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY AV",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY CHAMPION",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY HAGER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY JD SMP",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY KLASS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY LANGQI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY LEGEND RANGE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY LIN ROYAL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY MEGA SMART",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY MIGEND",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY ROYAL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY SILVER KLASS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY SILVER WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY SLIM WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY SMART LEGEND",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY SMARTPANASONIC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY SOLLATEK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY STYLE WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY VBT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY VIVACE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY WH CLASS RANGE WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY WILCO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY WINLUK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY ZENITH UK",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2G 2WAY ZENITH UK WOODEN",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2HOLDER COB FITTING COND SILVER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2HOLDERS COB BROWN VETO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2IN1 18W LED CONDUIT SQUARE",0,0,80.00,80.00,0.00
"MODERN DREAM A","ACCESSORIES","2IN1 LED CHOKE 12W",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2IN1 LED CHOKE 18W",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2IN1 LED CHOKE 24W",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2IN1 LED SURFACE 12W",0,41,70.00,70.00,0.00
"MODERN DREAM A","ACCESSORIES","2IN1 LED SURFACE 18W",0,0,80.00,80.00,0.00
"MODERN DREAM A","ACCESSORIES","2IN1 LED SURFACE 24W",0,0,90.00,90.00,0.00
"MODERN DREAM A","ACCESSORIES","2P BREAKER BOX",0,0,20.00,20.00,0.00
"MODERN DREAM A","ACCESSORIES","2POLE 100A WYLEX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2POLE 32A MILING GERIN",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2POLE 9C SWITCH SCHNEIDER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2POLE BREAKER 32A",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2POLE BREAKER 63A HAGER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2U ENERGY BULB METRO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2U LED BULB METRO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2W LED DOWNLIGHT LASER HEIGHT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2W LED LIGHT RUI FI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2W STAIRCASE LED LIGHT HEIGHT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3 IN1 LED BULB V-MAX",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","3.5W LED ENERGY ELLINGTON",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30A CHANGEOVER",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W 3COLOURS LED LIGHT MODI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W 3U BULB SALMET",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W BULB ECONOMY",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","30W COB LED DOWNLIGHT V-MAX",0,5,350.00,350.00,0.00
"MODERN DREAM A","ACCESSORIES","30W COND 3IN1(GL) LED LIGHT MODI",0,0,0.00,0.00,0.00
